City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
83,Sao Miguel Do Araguaia,BR,71.56,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
84,Richards Bay,ZA,78.39,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
85,Kalamare,BW,70.75,broken clouds,-22.9337,26.5703,
86,Axim,GH,82.58,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
87,Pemex,MX,74.95,light rain,18.4395,-96.3461,Hotel Alquimia Premier
88,Bedford,GB,57.24,few clouds,52.1346,-0.4663,Premier Inn Bedford (Priory Marina) hotel
89,Port Elizabeth,ZA,81.1,clear sky,-33.918,25.5701,39 On Nile Guest House
90,Taltal,CL,56.55,scattered clouds,-25.4,-70.4833,Residencial Karime
92,Ponta Do Sol,PT,72.72,overcast clouds,32.6667,-17.1,Hotel do Campo
93,Merauke,ID,84.04,overcast clouds,-8.4667,140.3333,
94,Kapaa,US,77.11,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
95,Victor Harbor,AU,59.68,broken clouds,-35.5667,138.6167,McCracken Country Club
97,Winsum,NL,57.96,overcast clouds,53.33,6.5208,Tuinhuis
98,Nikolskoye,RU,53.49,overcast clouds,59.7035,30.7861,Tourist House - Sablino
99,Hermanus,ZA,75.79,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
100,Tahoua,NE,82.38,clear sky,14.8888,5.2692,Bungalows Guesthouse
104,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,Le four à pain
105,Mar Del Plata,AR,58.08,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
106,Lebu,CL,53.91,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
107,Sao Filipe,CV,79.5,overcast clouds,14.8961,-24.4956,Hotel Xaguate
108,Margate,GB,65.7,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
109,Rocha,UY,58.69,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
112,Pundaguitan,PH,83.91,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
113,Hasaki,JP,63.28,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
114,Zhangye,CN,60.75,few clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
115,Isangel,VU,77.4,few clouds,-19.55,169.2667,Tanna Lodge
116,Lompoc,US,51.58,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
118,Royal Leamington Spa,GB,57.78,overcast clouds,52.3,-1.5333,"Holiday Inn Leamington Spa - Warwick, an IHG Hotel"
119,Cayenne,GF,75.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
120,Imbituba,BR,67.24,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
121,Varhaug,NO,54.95,broken clouds,58.6147,5.6457,Jonas Bue
122,Atuona,PF,76.46,clear sky,-9.8,-139.0333,Villa Enata
123,Inhambane,MZ,76.21,moderate rain,-23.865,35.3833,Oceano
124,Souillac,MU,80.98,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
125,East London,ZA,70.74,clear sky,-33.0153,27.9116,Tu Casa
126,Geraldton,AU,64.81,light rain,-28.7667,114.6,Broadwater Mariner Resort
127,Ulladulla,AU,61.41,clear sky,-35.35,150.4667,Sandpiper Motel
128,Butaritari,KI,81.54,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
130,Maraa,BR,73.27,light rain,-1.8333,-65.3667,
131,Tura,IN,79.38,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
132,Celestun,MX,75.67,clear sky,20.8667,-90.4,Posada Lilia
133,Tacna,PE,54.5,scattered clouds,-18.0056,-70.2483,Hotel Colón Inn
134,Lubango,AO,68.2,light rain,-14.9172,13.4925,Hotel Serra da Chela
135,Seoul,KR,64.0,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
137,Vallentuna,SE,57.96,few clouds,59.5344,18.0776,First Hotel Lindö Park
138,Tezu,IN,81.68,clear sky,27.9167,96.1667,Circuit House
139,New Norfolk,AU,51.3,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
140,Bengkulu,ID,81.25,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
142,Darab,IR,83.25,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
143,Sidrolandia,BR,70.29,overcast clouds,-20.9319,-54.9614,Agropet São Francisco
145,Kuching,MY,84.42,few clouds,1.55,110.3333,Hilton Kuching
146,Hunterville,NZ,63.7,broken clouds,-39.9333,175.5667,Argyle Hotel
147,Bokaa,BW,66.69,overcast clouds,-24.45,26.0167,Pa Vula Hotels
149,Lagos,NG,80.92,broken clouds,6.5833,3.75,
150,Saint Anthony,US,48.94,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
151,Rantepao,ID,72.91,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
153,El Alto,PE,62.1,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
154,Miranda,CO,64.53,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
155,Cockburn Town,TC,81.99,clear sky,21.4612,-71.1419,Osprey Beach Hotel
157,Fortuna,US,45.52,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
159,Baft,IR,71.6,clear sky,29.234,56.6057,Paeez Hotel & restaurant
161,Namibe,AO,71.73,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
162,Tuatapere,NZ,55.65,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
163,Nara,JP,61.97,few clouds,34.6851,135.8049,Guesthouse Nara Komachi
164,Bac Lieu,VN,84.27,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
165,Rawson,AR,49.05,clear sky,-43.3002,-65.1023,Hosteria Sampedro
166,Alofi,NU,71.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
172,Kaeo,NZ,67.32,overcast clouds,-35.1,173.7833,Bushido Lodge
173,Kloulklubed,PW,84.52,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
174,Coquimbo,CL,51.53,clear sky,-29.9533,-71.3436,Hotel San Juan
176,Alghero,IT,66.29,clear sky,40.5589,8.3181,Smy Carlos V Alghero
177,Adre,TD,87.85,few clouds,13.4667,22.2,
178,Ranau,MY,79.11,overcast clouds,5.9538,116.6641,The Second Room
180,Thomaston,US,55.09,broken clouds,32.8882,-84.3266,Days Inn by Wyndham Thomaston
181,Songea,TZ,79.95,few clouds,-10.6833,35.65,mtakuja
183,Timra,SE,56.68,broken clouds,62.487,17.3257,Bergefors park
185,Cidreira,BR,65.64,few clouds,-30.1811,-50.2056,Hotel Castelo
186,Conde,BR,74.66,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
187,Kirakira,SB,80.1,scattered clouds,-10.4544,161.9205,SanBiz Lodge
190,Ciudad Bolivar,VE,76.3,overcast clouds,8.1222,-63.5497,Hotel Edi
191,Leeton,AU,61.9,broken clouds,-34.5667,146.4,Hydro Hotel
193,Umm Lajj,SA,84.7,clear sky,25.0213,37.2685,Moon light Furnished Units
194,Kalmunai,LK,84.65,overcast clouds,7.4167,81.8167,VS Villa
195,Monrovia,LR,80.94,light rain,6.3005,-10.7969,Sunset Inn
196,Bireun,ID,83.59,broken clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
197,Padang,ID,84.25,light rain,-0.9492,100.3543,Mercure Padang
198,Sola,VU,79.92,clear sky,-13.8833,167.55,Leumerus Bungalows
199,Muros,ES,64.69,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
202,Kastamonu,TR,52.36,few clouds,41.5,33.6667,Kasaba Orencik Koyu Muhtarligi
203,Tsaratanana,MG,87.71,light rain,-16.7833,47.65,
204,Qinhuangdao,CN,51.35,overcast clouds,39.9317,119.5883,Qinhuangdao Peninsula Seasons Hotel And Apartment
205,Atar,MR,86.41,scattered clouds,20.5169,-13.0499,Oumou Elghoura
206,Coos Bay,US,55.92,overcast clouds,43.3665,-124.2179,Best Western Holiday Hotel
207,Saint George,US,48.79,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
208,Bundaberg,AU,75.22,clear sky,-24.85,152.35,Takalvan Motel
209,Chuy,UY,58.28,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
211,Bubaque,GW,82.15,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
212,Tingi,TZ,85.5,broken clouds,-11.3,35.0333,
213,Katsuura,JP,63.43,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
214,Mandalgovi,MN,45.79,scattered clouds,45.7625,106.2708,В.Ганбат
215,Broken Hill,AU,70.97,broken clouds,-31.95,141.4333,Royal Exchange Hotel
217,Kiboga,UG,77.54,light rain,0.9161,31.7742,Marie Lustenberger Guest House
218,Bud,US,46.94,clear sky,39.447,-86.1758,Ted McQuinn Trust
219,Uvalde,US,54.59,clear sky,29.3669,-99.767,
222,Russell,US,57.38,broken clouds,32.3502,-85.1999,Macs
224,Kasongo-Lunda,CD,84.18,overcast clouds,-6.4667,16.8167,
225,Rancho Palos Verdes,US,62.28,clear sky,33.7445,-118.387,Terranea Resort
226,Teixeira,BR,68.36,broken clouds,-7.2228,-37.2542,Hotel da Serra
227,Saurimo,AO,73.72,broken clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
228,Le Vauclin,MQ,77.05,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
229,Boyolangu,ID,78.3,overcast clouds,-8.1181,111.8935,Yos ega cv
230,Mackay,AU,80.69,clear sky,-21.15,149.2,International Lodge Motel
231,Popondetta,PG,77.22,overcast clouds,-8.7537,148.2534,Timos Transit House
232,Nassau,US,47.7,broken clouds,40.7507,-73.5829,Hilton Garden Inn Westbury
233,Carbonia,IT,59.65,clear sky,39.1672,8.5222,Lu 'Hotel
234,Bogorodskoye,RU,45.57,moderate rain,56.55,37.8833,Sosnoviy Bor
235,Constantine,DZ,62.01,clear sky,36.365,6.6147,Grand Hotel Cirta
237,Sao Joao Da Barra,BR,73.53,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
238,Terdal,IN,82.74,clear sky,16.5,75.05,KGN khanawali
240,Sao Geraldo Do Araguaia,BR,74.17,overcast clouds,-6.4006,-48.555,Hotel Por do Sol
243,Omboue,GA,74.84,overcast clouds,-1.5746,9.2618,Hotel Olako
244,Novikovo,RU,51.53,overcast clouds,51.1537,37.8879,
246,Sinnamary,GF,77.09,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
248,Paka,MY,80.33,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
249,Salalah,OM,83.77,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
250,Castro,BR,61.36,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
251,Labuhan,ID,85.44,broken clouds,-6.8844,112.2051,DoubleFAG
252,Shishou,CN,66.58,overcast clouds,29.7226,112.419,Chuyuan Hotel
253,Yumen,CN,56.52,overcast clouds,40.2833,97.2,
255,Puerto Suarez,BO,76.42,overcast clouds,-18.95,-57.8,Hotel casa real
256,Hamilton,US,46.67,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
257,Kollam,IN,83.86,broken clouds,8.8833,76.6,The Raviz Ashtamudi
259,Surt,LY,74.03,clear sky,31.2089,16.5887,فندق المدينة
260,Muroto,JP,66.07,clear sky,33.2833,134.15,Oota Ryokan
261,Soyo,AO,81.19,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
262,Saldanha,ZA,67.15,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
263,Codrington,AU,50.18,clear sky,-38.2667,141.9667,
265,Plettenberg Bay,ZA,73.02,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
266,Nelson Bay,AU,71.65,clear sky,-32.7167,152.15,Mantra Nelson Bay
267,Roebourne,AU,79.79,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
270,Lumut,MY,83.23,heavy intensity rain,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
271,Santa Maria,BR,61.02,clear sky,-29.6842,-53.8069,Hotel Morotin
273,Ailigandi,PA,76.5,few clouds,9.2333,-78.0167,Akwa Reef Lodge
275,Kudahuvadhoo,MV,80.71,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
277,Phuket,TH,88.02,few clouds,8.0,98.25,The Surin
278,Kavieng,PG,83.12,broken clouds,-2.5744,150.7967,Nusa Island Retreat
279,Santiago,CL,60.85,clear sky,-33.4569,-70.6483,Hotel Panamericano
280,La Asuncion,VE,80.33,light rain,11.0333,-63.8628,Colinas de Matasiete
281,Cervo,ES,62.96,light rain,43.6702,-7.4101,Hotel Spa Galatea
282,Kundiawa,PG,63.54,overcast clouds,-6.0167,144.9667,Pari
283,Moba,CN,48.25,overcast clouds,33.2288,105.0179,Xinlong Hotel
284,Bereda,ES,59.41,overcast clouds,43.2686,-7.5406,Pazo de Verdes
285,Lichuan,CN,51.42,overcast clouds,30.3,108.85,Yuanlai Homestay
286,Leo,BF,84.18,clear sky,11.1,-2.1,Hotel Sissilis
287,Taoudenni,ML,83.16,clear sky,22.6783,-3.9836,
288,Inirida,CO,74.17,heavy intensity rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
289,Shaoguan,CN,81.64,scattered clouds,24.8,113.5833,Shangcheng Hotel
290,Karatau,KZ,64.94,overcast clouds,43.1667,70.4667,Абзалдың туратын жеры
291,Alta Floresta,BR,70.79,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
292,Grand Gaube,MU,81.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
294,Wenling,CN,66.99,few clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
295,Tual,ID,85.73,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
298,Emerald,AU,78.35,clear sky,-23.5333,148.1667,The Irish Village
299,Vao,NC,76.32,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
302,Mkushi,ZM,88.2,overcast clouds,-13.6202,29.3939,Mkushi Police Club
303,San Jeronimo,PE,49.32,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
304,Herat,AF,77.47,broken clouds,34.5,62.0,
306,San Andres,CO,81.77,few clouds,12.5847,-81.7006,Hotel Arena Blanca
309,Touba,CI,77.95,scattered clouds,8.2833,-7.6833,Hotel de L'Amitié Vraie
311,Pahrump,US,52.25,broken clouds,36.2083,-115.9839,Best Western Pahrump Oasis
312,Veraval,IN,86.32,clear sky,20.9,70.3667,Lords Inn Somnath
317,Korla,CN,59.97,clear sky,41.7597,86.1469,Gulisitan Hotel
318,Visnes,NO,55.45,few clouds,59.3556,5.2242,Park Inn Haugesund Airport
319,Porto Santo,PT,70.18,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
325,Vanimo,PG,80.55,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
326,Anloga,GH,82.9,few clouds,5.7947,0.8973,Pin Drop Hotel
327,Shahrud,IR,66.27,clear sky,36.4182,54.9763,Royal Hotel
328,Songkhla,TH,87.85,overcast clouds,6.8333,100.6667,ร้านโรตี เมือง. โรตีสาวน้อยใกล้ปั้มปตท
329,Jishou,CN,59.25,overcast clouds,28.3167,109.7167,7 Days Inn
330,Viransehir,TR,73.54,few clouds,37.2353,39.7631,Viranşehir Öğretmenevi
331,San Marcos,US,61.9,broken clouds,33.1434,-117.1661,Hampton Inn San Marcos
332,Guerrero Negro,MX,66.54,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
333,Druzhba,UA,52.79,overcast clouds,52.0428,33.9453,
334,Alvorada,BR,73.58,overcast clouds,-12.48,-49.1247,Cristal Plaza Hotel
335,Benghazi,LY,71.92,clear sky,32.1167,20.0667,Tibesti Hotel
337,Mao,ES,72.16,few clouds,39.8885,4.2658,ARTIEM Capri
338,Kurdzhinovo,RU,51.55,scattered clouds,43.9884,40.9552,Camping Bolshaya Laba
339,Abnub,EG,80.71,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
340,Hunfeld,DE,64.11,overcast clouds,50.6797,9.7673,Best Western Plus Konrad Zuse Hotel
341,Bayonne,FR,77.63,clear sky,43.3333,-1.4167,Hotel Restaurant Txistulari
342,San Policarpo,PH,82.0,light rain,12.1791,125.5072,Agapita M. Nicart
344,Hobyo,SO,82.76,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
346,Salinopolis,BR,79.07,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
347,Mogok,MM,73.31,scattered clouds,22.9167,96.5,MOGOK HILL HOTEL
349,Malamig,PH,77.4,moderate rain,12.95,121.3667,Anela's place
353,Ordu,TR,47.91,overcast clouds,40.9086,37.6845,Orencik Koyu Muhtarligi
354,Samarai,PG,82.36,few clouds,-10.6167,150.6667,Nuli Sapi
356,Vieques,PR,80.89,overcast clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
358,Beberibe,BR,77.61,broken clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
359,Quang Ngai,VN,76.8,overcast clouds,15.1167,108.8,Central Hotel
360,Lisburn,GB,55.62,light rain,54.5234,-6.0353,Premier Inn Lisburn hotel
363,Harper,LR,80.58,light rain,4.375,-7.7169,Screensaver
364,Portland,US,55.11,mist,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
365,Malanje,AO,67.53,light rain,-9.5402,16.341,Hotel Ginga
366,Novobohdanivka,UA,58.69,scattered clouds,47.0819,35.3272,
367,Artyom,AZ,59.14,light rain,40.4723,50.333,Nazimin bazdigxanasi
368,Minna,NG,83.53,overcast clouds,9.6139,6.5569,Royal Park hotel & suites
369,Palmerston,AU,87.78,broken clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
370,Ternate,ID,83.25,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
371,Annau,TM,67.35,few clouds,37.8876,58.516,"Гостиница ""Уссат инженер"""
372,Altamira,BR,71.29,overcast clouds,-3.2033,-52.2064,Requinte Hotel
373,Caravelas,BR,74.17,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
374,Cabo San Lucas,MX,74.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
375,Thayetmyo,MM,89.28,few clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
377,Yerkoy,TR,54.64,clear sky,39.6381,34.4672,Yerköy Öğretmenevi
378,Flinders,AU,65.25,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
379,Acapulco,MX,78.62,light rain,16.8634,-99.8901,HS Hotsson Smart Acapulco
381,The Valley,AI,79.83,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
382,Malangwa,NP,84.49,clear sky,26.8568,85.5581,Prem Meat House
383,San Cristobal,VE,64.71,overcast clouds,7.7669,-72.225,Pirineos
384,Wuxi,CN,63.95,clear sky,31.5689,120.2886,Wuxi Jinjiang Grand Hotel
385,Chimbarongo,CL,48.45,clear sky,-34.7,-71.05,Hostal Ruka Kamañ
386,Namatanai,PG,81.43,light rain,-3.6667,152.4333,Seagulls Inn Namatani
389,Lorengau,PG,81.91,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
390,Boma,GH,82.27,overcast clouds,7.0805,-2.1697,Obaatanpa Hotel
391,Nisia Floresta,BR,74.21,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
392,Silver City,US,46.69,clear sky,32.7701,-108.2803,Copper Manor Motel
394,Louis Trichardt,ZA,65.68,overcast clouds,-23.0439,29.9032,139 on Munnik Guest House
395,Bydgoszcz,PL,63.61,clear sky,53.1235,18.0076,Hotel Kresowianka
396,Sebeta,ET,68.81,overcast clouds,8.9167,38.6167,Alem Hotel And Milto Cinema
397,Kahului,US,78.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
398,Porto Velho,BR,75.25,mist,-8.7619,-63.9039,Ecos Hotel Conforto
399,Torrelavega,ES,78.46,overcast clouds,43.3494,-4.0479,Hotel Torresport Spa
401,Yamoussoukro,CI,74.86,overcast clouds,6.8206,-5.2767,Residence Heaven
402,Maxixe,MZ,76.15,moderate rain,-23.8597,35.3472,Oceano
406,Chase,CA,47.16,overcast clouds,50.8165,-119.6857,Chase Country Inn Motel
407,Amapa,BR,70.45,scattered clouds,1.0,-52.0,
408,Carutapera,BR,78.35,overcast clouds,-1.195,-46.02,Lidera
410,Westport,US,47.75,clear sky,41.1415,-73.3579,The Westport Inn
413,Tabou,CI,80.73,few clouds,4.423,-7.3528,hotêl doufoulougou
414,Amahai,ID,81.63,light rain,-3.3333,128.9167,HOTEL ISABELA
415,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
417,Gunnedah,AU,60.46,broken clouds,-30.9833,150.25,Gunnedah Motor Inn
418,Pisco,PE,55.45,mist,-13.7,-76.2167,Hotel San Isidro Oficial
419,Puerto Quijarro,BO,75.92,broken clouds,-17.7833,-57.7667,Hotel palance
422,Dori,BF,85.28,clear sky,14.0354,-0.0345,Hôtel Liptako
423,South Venice,US,71.98,clear sky,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
424,Ouadda,CF,87.89,overcast clouds,8.0777,22.4007,
425,Uong Bi,VN,84.18,overcast clouds,21.0333,106.7833,khach san Trung lien
426,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
427,Beipiao,CN,47.98,overcast clouds,41.7919,120.7792,Beipiao Hotel
429,Rock Sound,BS,80.33,clear sky,24.9,-76.2,Pink Corral Bay Property
430,Moron,AR,67.98,broken clouds,-34.6534,-58.6198,Hotel Morón
431,Ballina,AU,67.68,few clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
433,Liuli,TZ,85.68,scattered clouds,-11.0833,34.6333,"Puulu Beach,Puulu Village"
434,Llanes,ES,69.03,overcast clouds,43.4198,-4.7549,Hotel La Paz
