City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Danilov,RU,58.1908,40.1717,45.05,97,100,6.31,moderate rain
80,Sitka,US,57.0531,-135.33,39.09,81,100,11.5,moderate rain
81,El Triunfo,EC,-1.9333,-79.9667,69.84,80,100,4.79,overcast clouds
82,Georgetown,MY,5.4112,100.3354,89.53,80,20,7.0,few clouds
83,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,71.56,95,100,4.32,overcast clouds
84,Richards Bay,ZA,-28.783,32.0377,78.39,42,24,12.46,few clouds
85,Kalamare,BW,-22.9337,26.5703,70.75,56,55,21.43,broken clouds
86,Axim,GH,4.8699,-2.2405,82.58,72,37,5.5,scattered clouds
87,Pemex,MX,18.4395,-96.3461,74.95,96,80,4.27,light rain
88,Bedford,GB,52.1346,-0.4663,57.24,94,20,10.36,few clouds
89,Port Elizabeth,ZA,-33.918,25.5701,81.1,68,0,14.97,clear sky
90,Taltal,CL,-25.4,-70.4833,56.55,84,46,0.16,scattered clouds
91,Luderitz,NA,-26.6481,15.1594,67.77,64,23,9.08,few clouds
92,Ponta Do Sol,PT,32.6667,-17.1,72.72,84,90,2.37,overcast clouds
93,Merauke,ID,-8.4667,140.3333,84.04,72,100,13.6,overcast clouds
94,Kapaa,US,22.0752,-159.319,77.11,86,12,4.0,few clouds
95,Victor Harbor,AU,-35.5667,138.6167,59.68,72,53,9.4,broken clouds
96,Saint-Augustin,CA,51.226,-58.6502,38.66,68,97,16.75,overcast clouds
97,Winsum,NL,53.33,6.5208,57.96,96,100,6.42,overcast clouds
98,Nikolskoye,RU,59.7035,30.7861,53.49,97,100,7.4,overcast clouds
99,Hermanus,ZA,-34.4187,19.2345,75.79,67,100,9.71,overcast clouds
100,Tahoua,NE,14.8888,5.2692,82.38,17,0,11.5,clear sky
101,Borovskiy,RU,57.041,65.7202,39.65,60,97,6.85,overcast clouds
102,Qaanaaq,GL,77.484,-69.3632,-9.72,71,0,8.55,clear sky
103,Togur,RU,58.3631,82.8265,31.01,80,98,9.48,overcast clouds
104,Saint-Philippe,RE,-21.3585,55.7679,78.39,76,54,7.47,broken clouds
105,Mar Del Plata,AR,-38.0023,-57.5575,58.08,84,0,1.99,moderate rain
106,Lebu,CL,-37.6167,-73.65,53.91,95,87,13.4,overcast clouds
107,Sao Filipe,CV,14.8961,-24.4956,79.5,70,100,6.89,overcast clouds
108,Margate,GB,51.3813,1.3862,65.7,91,100,4.0,overcast clouds
109,Rocha,UY,-34.4833,-54.3333,58.69,76,100,5.93,overcast clouds
110,Chokurdakh,RU,70.6333,147.9167,-6.39,99,91,7.2,overcast clouds
111,Thompson,CA,55.7435,-97.8558,32.16,74,0,9.22,clear sky
112,Pundaguitan,PH,6.3711,126.1689,83.91,79,89,18.01,overcast clouds
113,Hasaki,JP,35.7333,140.8333,63.28,53,3,23.2,clear sky
114,Zhangye,CN,38.9342,100.4517,60.75,17,16,7.67,few clouds
115,Isangel,VU,-19.55,169.2667,77.4,87,16,5.5,few clouds
116,Lompoc,US,34.6391,-120.4579,51.58,97,100,3.44,overcast clouds
117,Tuktoyaktuk,CA,69.4541,-133.0374,9.72,88,95,12.21,overcast clouds
118,Royal Leamington Spa,GB,52.3,-1.5333,57.78,96,100,1.01,overcast clouds
119,Cayenne,GF,4.9333,-52.3333,75.24,100,75,6.91,broken clouds
120,Imbituba,BR,-28.24,-48.6703,67.24,95,65,7.07,broken clouds
121,Varhaug,NO,58.6147,5.6457,54.95,94,56,12.71,broken clouds
122,Atuona,PF,-9.8,-139.0333,76.46,69,10,19.15,clear sky
123,Inhambane,MZ,-23.865,35.3833,76.21,75,86,16.91,moderate rain
124,Souillac,MU,-20.5167,57.5167,80.98,50,20,8.05,few clouds
125,East London,ZA,-33.0153,27.9116,70.74,68,0,14.97,clear sky
126,Geraldton,AU,-28.7667,114.6,64.81,72,75,24.16,light rain
127,Ulladulla,AU,-35.35,150.4667,61.41,51,0,11.23,clear sky
128,Butaritari,KI,3.0707,172.7902,81.54,73,95,16.55,overcast clouds
129,Broome,US,42.2506,-75.833,41.36,65,58,2.89,broken clouds
130,Maraa,BR,-1.8333,-65.3667,73.27,100,100,0.96,light rain
131,Tura,IN,25.5198,90.2201,79.38,65,0,3.4,clear sky
132,Celestun,MX,20.8667,-90.4,75.67,87,2,10.18,clear sky
133,Tacna,PE,-18.0056,-70.2483,54.5,89,41,2.59,scattered clouds
134,Lubango,AO,-14.9172,13.4925,68.2,64,98,3.36,light rain
135,Seoul,KR,37.5683,126.9778,64.0,45,0,2.3,clear sky
136,Aklavik,CA,68.2191,-135.0107,7.88,98,98,1.95,overcast clouds
137,Vallentuna,SE,59.5344,18.0776,57.96,81,20,21.85,few clouds
138,Tezu,IN,27.9167,96.1667,81.68,48,0,1.66,clear sky
139,New Norfolk,AU,-42.7826,147.0587,51.3,67,64,3.0,broken clouds
140,Bengkulu,ID,-3.8004,102.2655,81.25,76,65,6.98,moderate rain
141,Olafsvik,IS,64.8945,-23.7142,42.22,77,96,10.6,overcast clouds
142,Darab,IR,28.7519,54.5444,83.25,11,2,6.2,clear sky
143,Sidrolandia,BR,-20.9319,-54.9614,70.29,78,88,4.34,overcast clouds
